,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-6bbbb8cb9c-vv5v2_cpu,simple-stateless-6bbbb8cb9c-vv5v2_memory
Sat Feb 11 01:54:00 2023,1.689267,220475853n,2092676Ki,42716549n,1289212Ki,49068210n,1238204Ki,204340585n,1441360Ki,33089095n,1024324Ki,48669099n,1179780Ki,1492249n,17744Ki
Sat Feb 11 01:54:04 2023,1.40987,,,,,,,,,,,,,,
Sat Feb 11 01:54:06 2023,1.064981,220475853n,2092676Ki,42716549n,1289212Ki,49068210n,1238204Ki,204340585n,1441360Ki,33089095n,1024324Ki,48669099n,1179780Ki,1492249n,17744Ki
Sat Feb 11 01:54:08 2023,1.247179,,,,,,,,,,,,,,
Sat Feb 11 01:54:10 2023,1.070266,220475853n,2092676Ki,42716549n,1289212Ki,49068210n,1238204Ki,204340585n,1441360Ki,33089095n,1024324Ki,48669099n,1179780Ki,1492249n,17744Ki
Sat Feb 11 01:54:12 2023,1.255962,,,,,,,,,,,,,,
Sat Feb 11 01:54:14 2023,1.208067,219739683n,2082740Ki,39350901n,1288716Ki,46370032n,1238380Ki,211252549n,1441384Ki,38369834n,1024324Ki,46279656n,1179776Ki,1492249n,17744Ki
Sat Feb 11 01:54:16 2023,1.360663,,,,,,,,,,,,,,
Sat Feb 11 01:54:18 2023,0.996491,219739683n,2082740Ki,39350901n,1288716Ki,46370032n,1238380Ki,211252549n,1441384Ki,38369834n,1024324Ki,46279656n,1179776Ki,1492249n,17744Ki
Sat Feb 11 01:54:20 2023,1.361016,,,,,,,,,,,,,,
Sat Feb 11 01:54:22 2023,1.121379,219739683n,2082740Ki,39350901n,1288716Ki,46370032n,1238380Ki,211252549n,1441384Ki,38369834n,1024324Ki,46279656n,1179776Ki,1492249n,17744Ki
Sat Feb 11 01:54:24 2023,1.194032,,,,,,,,,,,,,,
Sat Feb 11 01:54:26 2023,1.119136,219739683n,2082740Ki,39350901n,1288716Ki,46370032n,1238380Ki,211252549n,1441384Ki,38369834n,1024324Ki,46279656n,1179776Ki,1492249n,17744Ki
Sat Feb 11 01:54:28 2023,1.058137,,,,,,,,,,,,,,
Sat Feb 11 01:54:30 2023,1.182526,245080991n,2083576Ki,40401185n,1288460Ki,56694698n,1238592Ki,193352148n,1441592Ki,30958188n,1024324Ki,48884198n,1179776Ki,1468418n,18056Ki
Sat Feb 11 01:54:32 2023,1.449174,,,,,,,,,,,,,,
