,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set2-0_cpu,simple-stateful-set2-0_memory,simple-stateful-set2-1_cpu,simple-stateful-set2-1_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Sat Feb 11 00:46:14 2023,0.898082,265258539n,2073780Ki,107369902n,1274244Ki,132324725n,1238436Ki,268345533n,1437460Ki,117936233n,1035384Ki,137183164n,1178912Ki,176717n,3324Ki,30807n,3288Ki,0,18376Ki
Sat Feb 11 00:46:16 2023,0.906387,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:46:18 2023,0.850382,265258539n,2073780Ki,107369902n,1274244Ki,132324725n,1238436Ki,268345533n,1437460Ki,117936233n,1035384Ki,137183164n,1178912Ki,176717n,3324Ki,30807n,3288Ki,0,18376Ki
Sat Feb 11 00:46:20 2023,0.771924,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:46:22 2023,0.730855,265258539n,2073780Ki,107369902n,1274244Ki,132324725n,1238436Ki,268345533n,1437460Ki,117936233n,1035384Ki,137183164n,1178912Ki,176717n,3324Ki,30807n,3288Ki,0,18376Ki
Sat Feb 11 00:46:24 2023,0.784325,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:46:26 2023,0.733787,265258539n,2073780Ki,107369902n,1274244Ki,132324725n,1238436Ki,268345533n,1437460Ki,117936233n,1035384Ki,137183164n,1178912Ki,176717n,3324Ki,30807n,3288Ki,0,18376Ki
Sat Feb 11 00:46:28 2023,0.832105,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:46:30 2023,0.826384,311122074n,2074588Ki,127490404n,1274248Ki,138152182n,1238176Ki,280105332n,1438152Ki,128220933n,1034864Ki,135473207n,1178420Ki,161597n,3332Ki,52162n,3296Ki,0,18376Ki
Sat Feb 11 00:46:32 2023,0.822047,,,,,,,,,,,,,,,,,,
