,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set-0_cpu,simple-stateful-set-0_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Fri Feb 10 20:54:05 2023,1.309612,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:07 2023,1.070876,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:09 2023,1.203059,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:11 2023,0.902828,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:12 2023,1.547942,208753444n,1633056Ki,45290111n,1262852Ki,42885070n,1167944Ki,181967208n,1428424Ki,37218264n,1026428Ki,44281341n,1169020Ki,226066n,3244Ki,0,18376Ki
Fri Feb 10 20:54:15 2023,1.520142,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:17 2023,1.414624,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:19 2023,1.790275,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:21 2023,1.202386,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:23 2023,0.989983,217493206n,1633600Ki,44776781n,1262844Ki,42114218n,1167944Ki,188290892n,1429044Ki,35632412n,1026428Ki,48593501n,1168880Ki,254723n,3272Ki,0,18376Ki
Fri Feb 10 20:54:25 2023,1.204145,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:27 2023,1.047349,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:29 2023,1.222791,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:31 2023,1.009161,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:33 2023,1.297049,192476499n,1634388Ki,40888460n,1262892Ki,40403040n,1168076Ki,189997073n,1429836Ki,35482973n,1026560Ki,46979341n,1169216Ki,254723n,3272Ki,0,18376Ki
Fri Feb 10 20:54:35 2023,1.18545,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:37 2023,1.438702,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:39 2023,1.479557,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:41 2023,1.172329,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:43 2023,1.018408,197265113n,1633880Ki,40068334n,1262808Ki,40331090n,1168220Ki,197784205n,1429752Ki,38682402n,1026424Ki,48467973n,1169144Ki,240546n,3284Ki,0,18376Ki
Fri Feb 10 20:54:45 2023,1.341101,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:47 2023,1.125482,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:49 2023,1.20923,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:51 2023,1.329649,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:53 2023,1.560441,197265113n,1633880Ki,40068334n,1262808Ki,40331090n,1168220Ki,197784205n,1429752Ki,38682402n,1026424Ki,48467973n,1169144Ki,240546n,3284Ki,0,18376Ki
Fri Feb 10 20:54:55 2023,1.245163,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:57 2023,1.194337,,,,,,,,,,,,,,,,
Fri Feb 10 20:54:59 2023,1.15732,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:01 2023,1.251942,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:03 2023,1.253193,193319015n,1633840Ki,36020914n,1263052Ki,44142411n,1168220Ki,184987713n,1429960Ki,35903169n,1026556Ki,43151311n,1169280Ki,308662n,3288Ki,0,18376Ki
Fri Feb 10 20:55:05 2023,1.866671,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:07 2023,1.249701,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:09 2023,1.126188,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:11 2023,1.546953,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:13 2023,1.291557,187674389n,1633444Ki,40687065n,1263708Ki,38982944n,1168220Ki,190658952n,1430188Ki,37631322n,1026688Ki,53687041n,1169092Ki,331682n,3288Ki,0,18376Ki
Fri Feb 10 20:55:15 2023,1.098716,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:17 2023,2.211505,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:20 2023,1.362298,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:22 2023,1.28109,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:24 2023,1.40014,187674389n,1633444Ki,40687065n,1263708Ki,38982944n,1168220Ki,190658952n,1430188Ki,37631322n,1026688Ki,53687041n,1169092Ki,331682n,3288Ki,0,18376Ki
Fri Feb 10 20:55:26 2023,1.019424,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:28 2023,1.375748,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:30 2023,1.414121,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:32 2023,1.050234,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:34 2023,1.224862,182336221n,1633720Ki,48823879n,1264028Ki,39888059n,1168068Ki,181329161n,1430284Ki,35549844n,1026688Ki,44993737n,1169244Ki,319067n,3288Ki,0,18376Ki
Fri Feb 10 20:55:36 2023,1.32138,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:38 2023,1.324744,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:40 2023,1.933455,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:42 2023,1.277035,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:44 2023,1.305703,192263533n,1634048Ki,35770020n,1263456Ki,40659058n,1168068Ki,202722889n,1430524Ki,69168553n,1026728Ki,40796718n,1169244Ki,273581n,3288Ki,0,18376Ki
Fri Feb 10 20:55:46 2023,0.802681,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:47 2023,1.309175,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:49 2023,1.421572,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:51 2023,1.223154,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:53 2023,1.448152,192263533n,1634048Ki,35770020n,1263456Ki,40659058n,1168068Ki,202722889n,1430524Ki,69168553n,1026728Ki,40796718n,1169244Ki,273581n,3288Ki,0,18376Ki
Fri Feb 10 20:55:55 2023,1.372096,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:57 2023,1.169512,,,,,,,,,,,,,,,,
Fri Feb 10 20:55:59 2023,1.227283,,,,,,,,,,,,,,,,
Fri Feb 10 20:56:01 2023,1.383936,,,,,,,,,,,,,,,,
Fri Feb 10 20:56:03 2023,1.331519,192330763n,1633968Ki,38601981n,1263304Ki,39937173n,1168156Ki,185497340n,1431488Ki,37761883n,1026728Ki,53804832n,1169700Ki,342600n,3288Ki,0,18376Ki
Fri Feb 10 20:56:05 2023,1.950047,,,,,,,,,,,,,,,,
Fri Feb 10 20:56:07 2023,1.263172,,,,,,,,,,,,,,,,
Fri Feb 10 20:56:09 2023,1.672591,,,,,,,,,,,,,,,,
Fri Feb 10 20:56:11 2023,1.69982,,,,,,,,,,,,,,,,
