,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful_cpu,simple-stateful_memory,simple-stateful-migration-15_cpu,simple-stateful-migration-15_memory
Sat Feb 11 12:57:24 2023,0.956852,287194692n,2124420Ki,58337020n,1333680Ki,84429752n,1069136Ki,204807117n,1415248Ki,35535528n,1079164Ki,46836790n,1222728Ki,1499605n,21132Ki,,
Sat Feb 11 12:57:26 2023,0.401108,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:28 2023,0.490668,241827636n,2126076Ki,42751032n,1333724Ki,49766073n,1068640Ki,203653615n,1415460Ki,32317930n,1079164Ki,44099741n,1222728Ki,,,1679807n,21264Ki
Sat Feb 11 12:57:30 2023,0.385745,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:32 2023,0.290396,241827636n,2126076Ki,42751032n,1333724Ki,49766073n,1068640Ki,203653615n,1415460Ki,32317930n,1079164Ki,44099741n,1222728Ki,,,1679807n,21264Ki
Sat Feb 11 12:57:34 2023,0.295713,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:36 2023,0.355999,241827636n,2126076Ki,42751032n,1333724Ki,49766073n,1068640Ki,203653615n,1415460Ki,32317930n,1079164Ki,44099741n,1222728Ki,,,1679807n,21264Ki
Sat Feb 11 12:57:38 2023,0.391675,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:40 2023,0.338717,241827636n,2126076Ki,42751032n,1333724Ki,49766073n,1068640Ki,203653615n,1415460Ki,32317930n,1079164Ki,44099741n,1222728Ki,,,1679807n,21264Ki
Sat Feb 11 12:57:42 2023,0.412959,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:44 2023,0.318851,261008269n,2125392Ki,56617268n,1312784Ki,44089189n,1068712Ki,205601785n,1415304Ki,35891121n,1079232Ki,44544778n,1222884Ki,,,1615160n,20808Ki
Sat Feb 11 12:57:46 2023,0.326368,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:48 2023,0.35309,261008269n,2125392Ki,56617268n,1312784Ki,44089189n,1068712Ki,205601785n,1415304Ki,35891121n,1079232Ki,44544778n,1222884Ki,,,1615160n,20808Ki
Sat Feb 11 12:57:50 2023,0.329543,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:52 2023,0.351701,261008269n,2125392Ki,56617268n,1312784Ki,44089189n,1068712Ki,205601785n,1415304Ki,35891121n,1079232Ki,44544778n,1222884Ki,,,1615160n,20808Ki
Sat Feb 11 12:57:54 2023,0.344611,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:56 2023,0.545409,261008269n,2125392Ki,56617268n,1312784Ki,44089189n,1068712Ki,205601785n,1415304Ki,35891121n,1079232Ki,44544778n,1222884Ki,,,1615160n,20808Ki
Sat Feb 11 12:57:58 2023,0.311056,,,,,,,,,,,,,,,,
Sat Feb 11 12:58:00 2023,0.338903,213638758n,2124832Ki,49361663n,1313464Ki,45575673n,1068708Ki,223063508n,1415948Ki,41070446n,1080120Ki,43585368n,1222604Ki,,,1631443n,21224Ki
Sat Feb 11 12:58:02 2023,0.332455,,,,,,,,,,,,,,,,
Sat Feb 11 12:58:04 2023,0.32946,213638758n,2124832Ki,49361663n,1313464Ki,45575673n,1068708Ki,223063508n,1415948Ki,41070446n,1080120Ki,43585368n,1222604Ki,,,1631443n,21224Ki
Sat Feb 11 12:58:06 2023,0.420943,,,,,,,,,,,,,,,,
Sat Feb 11 12:58:08 2023,0.385568,213638758n,2124832Ki,49361663n,1313464Ki,45575673n,1068708Ki,223063508n,1415948Ki,41070446n,1080120Ki,43585368n,1222604Ki,,,1631443n,21224Ki
Sat Feb 11 12:58:10 2023,0.38035,,,,,,,,,,,,,,,,
Sat Feb 11 12:58:12 2023,0.389378,213638758n,2124832Ki,49361663n,1313464Ki,45575673n,1068708Ki,223063508n,1415948Ki,41070446n,1080120Ki,43585368n,1222604Ki,,,1631443n,21224Ki
Sat Feb 11 12:58:14 2023,0.324359,,,,,,,,,,,,,,,,
Sat Feb 11 12:58:16 2023,0.400532,207939358n,2124676Ki,40833408n,1312980Ki,45239903n,1068560Ki,216292264n,1415972Ki,33885022n,1079020Ki,44029577n,1222604Ki,,,1648411n,21432Ki
Sat Feb 11 12:58:18 2023,0.388387,,,,,,,,,,,,,,,,
