,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful_cpu,simple-stateful_memory,simple-stateful-migration-15_cpu,simple-stateful-migration-15_memory
Sat Feb 11 12:56:20 2023,0.218611,184754656n,2110176Ki,67855649n,1332740Ki,45970713n,1048180Ki,170154736n,1415204Ki,39337686n,1079896Ki,41333077n,1222940Ki,22000662n,20104Ki,,
Sat Feb 11 12:56:22 2023,0.216108,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:24 2023,0.226424,184754656n,2110176Ki,67855649n,1332740Ki,45970713n,1048180Ki,170154736n,1415204Ki,39337686n,1079896Ki,41333077n,1222940Ki,22000662n,20104Ki,,
Sat Feb 11 12:56:26 2023,0.242165,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:28 2023,0.25816,184754656n,2110176Ki,67855649n,1332740Ki,45970713n,1048180Ki,163381658n,1415188Ki,40646410n,1079220Ki,49300483n,1222844Ki,622728n,20208Ki,,
Sat Feb 11 12:56:30 2023,0.266939,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:32 2023,0.377467,226085988n,2127392Ki,43397136n,1332540Ki,51014323n,1048180Ki,163381658n,1415188Ki,40646410n,1079220Ki,49300483n,1222844Ki,622728n,20208Ki,,
Sat Feb 11 12:56:34 2023,0.293324,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:36 2023,0.294386,226085988n,2127392Ki,43397136n,1332540Ki,51014323n,1048180Ki,163381658n,1415188Ki,40646410n,1079220Ki,49300483n,1222844Ki,622728n,20208Ki,,
Sat Feb 11 12:56:38 2023,0.314507,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:40 2023,0.319545,226085988n,2127392Ki,43397136n,1332540Ki,51014323n,1048180Ki,163381658n,1415188Ki,40646410n,1079220Ki,49300483n,1222844Ki,622728n,20208Ki,,
Sat Feb 11 12:56:42 2023,0.369813,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:44 2023,0.286625,219502701n,2136964Ki,39227557n,1333028Ki,42704770n,1048180Ki,208443356n,1415788Ki,33318853n,1079220Ki,43774184n,1223368Ki,2080733n,20664Ki,,
Sat Feb 11 12:56:46 2023,0.382994,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:48 2023,0.402497,219502701n,2136964Ki,39227557n,1333028Ki,42704770n,1048180Ki,208443356n,1415788Ki,33318853n,1079220Ki,43774184n,1223368Ki,2080733n,20664Ki,,
Sat Feb 11 12:56:50 2023,0.386585,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:52 2023,0.472127,219502701n,2136964Ki,39227557n,1333028Ki,42704770n,1048180Ki,208443356n,1415788Ki,33318853n,1079220Ki,43774184n,1223368Ki,2080733n,20664Ki,,
Sat Feb 11 12:56:54 2023,0.420872,,,,,,,,,,,,,,,,
Sat Feb 11 12:56:56 2023,1.36197,219502701n,2136964Ki,39227557n,1333028Ki,42704770n,1048180Ki,208443356n,1415788Ki,33318853n,1079220Ki,43774184n,1223368Ki,2080733n,20664Ki,,
Sat Feb 11 12:56:58 2023,0.411441,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:00 2023,0.427397,230900119n,2125676Ki,51158298n,1333236Ki,45547494n,1048180Ki,223460947n,1415480Ki,40357052n,1079940Ki,42090600n,1222596Ki,2262639n,20908Ki,,
Sat Feb 11 12:57:02 2023,0.435822,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:04 2023,0.386464,230900119n,2125676Ki,51158298n,1333236Ki,45547494n,1048180Ki,223460947n,1415480Ki,40357052n,1079940Ki,42090600n,1222596Ki,2262639n,20908Ki,,
Sat Feb 11 12:57:06 2023,0.586995,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:08 2023,0.517011,230900119n,2125676Ki,51158298n,1333236Ki,45547494n,1048180Ki,223460947n,1415480Ki,40357052n,1079940Ki,42090600n,1222596Ki,2262639n,20908Ki,,
Sat Feb 11 12:57:10 2023,0.41436,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:12 2023,0.475113,230900119n,2125676Ki,51158298n,1333236Ki,45547494n,1048180Ki,223460947n,1415480Ki,40357052n,1079940Ki,42090600n,1222596Ki,2262639n,20908Ki,,
Sat Feb 11 12:57:14 2023,0.62093,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:16 2023,0.581085,287194692n,2124420Ki,58337020n,1333680Ki,84429752n,1069136Ki,204807117n,1415248Ki,35535528n,1079164Ki,46836790n,1222728Ki,1499605n,21132Ki,,
Sat Feb 11 12:57:18 2023,0.623298,,,,,,,,,,,,,,,,
Sat Feb 11 12:57:20 2023,0.505375,287194692n,2124420Ki,58337020n,1333680Ki,84429752n,1069136Ki,204807117n,1415248Ki,35535528n,1079164Ki,46836790n,1222728Ki,1499605n,21132Ki,,
Sat Feb 11 12:57:22 2023,0.431921,,,,,,,,,,,,,,,,
