,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful_cpu,simple-stateful_memory
Sat Feb 11 12:06:24 2023,0.480406,214235651n,1832604Ki,47762042n,1333480Ki,46871611n,1242740Ki,217892561n,1415536Ki,30203318n,1077352Ki,43048722n,1222152Ki,1557249n,20920Ki
Sat Feb 11 12:06:26 2023,0.487551,,,,,,,,,,,,,,
Sat Feb 11 12:06:28 2023,0.490043,200206850n,1833012Ki,50936409n,1333624Ki,50851582n,1242948Ki,213012586n,1415584Ki,33625226n,1077336Ki,50002318n,1222156Ki,1557249n,20920Ki
Sat Feb 11 12:06:30 2023,0.742765,,,,,,,,,,,,,,
Sat Feb 11 12:06:32 2023,0.498256,200206850n,1833012Ki,50936409n,1333624Ki,50851582n,1242948Ki,213012586n,1415584Ki,33625226n,1077336Ki,50002318n,1222156Ki,1557249n,20920Ki
Sat Feb 11 12:06:34 2023,0.873815,,,,,,,,,,,,,,
Sat Feb 11 12:06:36 2023,0.735202,200206850n,1833012Ki,50936409n,1333624Ki,50851582n,1242948Ki,213012586n,1415584Ki,33625226n,1077336Ki,50002318n,1222156Ki,1557249n,20920Ki
Sat Feb 11 12:06:38 2023,0.709728,,,,,,,,,,,,,,
Sat Feb 11 12:06:40 2023,0.488042,200206850n,1833012Ki,50936409n,1333624Ki,50851582n,1242948Ki,213012586n,1415584Ki,33625226n,1077336Ki,50002318n,1222156Ki,1557249n,20920Ki
Sat Feb 11 12:06:42 2023,0.594163,,,,,,,,,,,,,,
Sat Feb 11 12:06:44 2023,0.548368,202445831n,1832720Ki,41008355n,1333200Ki,42751351n,1243092Ki,228954833n,1415900Ki,31832552n,1077336Ki,52348025n,1221596Ki,1542886n,21336Ki
Sat Feb 11 12:06:46 2023,0.515773,,,,,,,,,,,,,,
Sat Feb 11 12:06:48 2023,0.428721,202445831n,1832720Ki,41008355n,1333200Ki,42751351n,1243092Ki,228954833n,1415900Ki,31832552n,1077336Ki,52348025n,1221596Ki,1542886n,21336Ki
Sat Feb 11 12:06:50 2023,0.495901,,,,,,,,,,,,,,
Sat Feb 11 12:06:52 2023,0.751825,202445831n,1832720Ki,41008355n,1333200Ki,42751351n,1243092Ki,228954833n,1415900Ki,31832552n,1077336Ki,52348025n,1221596Ki,1542886n,21336Ki
Sat Feb 11 12:06:54 2023,0.575587,,,,,,,,,,,,,,
Sat Feb 11 12:06:56 2023,1.098855,202445831n,1832720Ki,41008355n,1333200Ki,42751351n,1243092Ki,228954833n,1415900Ki,31832552n,1077336Ki,52348025n,1221596Ki,1542886n,21336Ki
Sat Feb 11 12:06:58 2023,0.81854,,,,,,,,,,,,,,
