,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set-0_cpu,simple-stateful-set-0_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Fri Feb 10 20:45:33 2023,0.871159,287256821n,1629084Ki,40921734n,1263820Ki,45297519n,1168176Ki,213659492n,1425640Ki,37581172n,1026444Ki,43961195n,1169312Ki,,,0,18376Ki
Fri Feb 10 20:45:35 2023,0.772629,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:36 2023,0.715792,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:37 2023,0.816503,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:38 2023,0.87123,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:39 2023,0.878896,287256821n,1629084Ki,40921734n,1263820Ki,45297519n,1168176Ki,213659492n,1425640Ki,37581172n,1026444Ki,43961195n,1169312Ki,,,0,18376Ki
Fri Feb 10 20:45:41 2023,1.244705,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:43 2023,0.917929,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:44 2023,0.928484,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:45 2023,0.954425,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:46 2023,0.751755,292065529n,1629300Ki,46152080n,1262544Ki,40589288n,1168176Ki,199797138n,1426024Ki,33736295n,1026444Ki,44237646n,1169312Ki,302794n,3376Ki,0,18376Ki
Fri Feb 10 20:45:48 2023,0.801005,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:49 2023,0.76552,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:50 2023,0.758226,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:51 2023,1.094966,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:53 2023,0.782832,292065529n,1629300Ki,46152080n,1262544Ki,40589288n,1168176Ki,199797138n,1426024Ki,33736295n,1026444Ki,44237646n,1169312Ki,302794n,3376Ki,0,18376Ki
Fri Feb 10 20:45:55 2023,0.970091,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:56 2023,0.935971,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:57 2023,0.826666,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:58 2023,0.796531,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:59 2023,0.977686,299234415n,1631788Ki,47437814n,1263108Ki,43939356n,1168176Ki,205254882n,1426208Ki,42654u,1026312Ki,44757601n,1168688Ki,358246n,3392Ki,0,18376Ki
Fri Feb 10 20:46:01 2023,0.753226,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:02 2023,0.757781,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:03 2023,0.808792,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:04 2023,0.60112,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:05 2023,0.86335,299234415n,1631788Ki,47437814n,1263108Ki,43939356n,1168176Ki,205254882n,1426208Ki,42654u,1026312Ki,44757601n,1168688Ki,358246n,3392Ki,0,18376Ki
Fri Feb 10 20:46:07 2023,0.964767,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:08 2023,0.987274,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:10 2023,1.002235,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:12 2023,1.072639,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:14 2023,0.804505,299981709n,1631508Ki,40014834n,1262760Ki,39621281n,1168176Ki,190390992n,1425916Ki,35227408n,1026444Ki,42000326n,1168684Ki,334899n,3524Ki,0,18376Ki
Fri Feb 10 20:46:16 2023,0.762892,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:17 2023,0.991259,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:19 2023,1.195922,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:21 2023,0.887241,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:22 2023,0.998551,299981709n,1631508Ki,40014834n,1262760Ki,39621281n,1168176Ki,190390992n,1425916Ki,35227408n,1026444Ki,42000326n,1168684Ki,334899n,3524Ki,0,18376Ki
Fri Feb 10 20:46:24 2023,1.001239,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:26 2023,0.855036,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:27 2023,0.855875,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:28 2023,0.882984,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:29 2023,1.01838,271886056n,1641152Ki,43512325n,1262824Ki,46102993n,1168044Ki,192511568n,1425932Ki,38779405n,1026440Ki,46129240n,1168772Ki,378010n,3416Ki,0,18376Ki
Fri Feb 10 20:46:31 2023,0.850531,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:32 2023,0.933898,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:33 2023,1.101729,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:35 2023,1.011034,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:37 2023,0.813365,271886056n,1641152Ki,43512325n,1262824Ki,46102993n,1168044Ki,192511568n,1425932Ki,38779405n,1026440Ki,46129240n,1168772Ki,378010n,3416Ki,0,18376Ki
Fri Feb 10 20:46:39 2023,0.974052,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:40 2023,1.086022,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:42 2023,1.078575,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:44 2023,1.076119,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:46 2023,1.04205,267241982n,1630900Ki,43889179n,1262788Ki,39671439n,1168044Ki,200254775n,1426440Ki,33550434n,1026440Ki,44829027n,1168772Ki,466641n,3420Ki,0,18376Ki
Fri Feb 10 20:46:48 2023,0.921095,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:49 2023,1.095766,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:51 2023,1.447414,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:53 2023,1.523503,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:55 2023,0.989222,267241982n,1630900Ki,43889179n,1262788Ki,39671439n,1168044Ki,200254775n,1426440Ki,33550434n,1026440Ki,44829027n,1168772Ki,466641n,3420Ki,0,18376Ki
Fri Feb 10 20:46:57 2023,1.071382,,,,,,,,,,,,,,,,
Fri Feb 10 20:46:59 2023,1.047752,,,,,,,,,,,,,,,,
Fri Feb 10 20:47:01 2023,1.026439,,,,,,,,,,,,,,,,
Fri Feb 10 20:47:03 2023,1.009058,,,,,,,,,,,,,,,,
