,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set-0_cpu,simple-stateful-set-0_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Fri Feb 10 20:44:19 2023,0.732995,274776991n,1627416Ki,41088300n,1262484Ki,38786581n,1168052Ki,169556797n,1425612Ki,36997092n,1026284Ki,42587352n,1168880Ki,180917n,3424Ki,0,18376Ki
Fri Feb 10 20:44:21 2023,0.603775,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:22 2023,0.702146,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:23 2023,0.726199,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:24 2023,0.662777,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:25 2023,0.636403,274776991n,1627416Ki,41088300n,1262484Ki,38786581n,1168052Ki,169556797n,1425612Ki,36997092n,1026284Ki,42587352n,1168880Ki,180917n,3424Ki,0,18376Ki
Fri Feb 10 20:44:27 2023,0.695862,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:28 2023,0.597518,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:29 2023,0.661001,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:30 2023,0.692851,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:31 2023,0.619226,277820157n,1627920Ki,37522393n,1262484Ki,44927754n,1167780Ki,180388947n,1435312Ki,37355328n,1026284Ki,46903016n,1168780Ki,87115n,3424Ki,0,18376Ki
Fri Feb 10 20:44:33 2023,0.752002,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:34 2023,0.741831,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:35 2023,0.65524,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:36 2023,0.815855,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:37 2023,0.927336,277820157n,1627920Ki,37522393n,1262484Ki,44927754n,1167780Ki,180388947n,1435312Ki,37355328n,1026284Ki,46903016n,1168780Ki,87115n,3424Ki,0,18376Ki
Fri Feb 10 20:44:39 2023,0.862295,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:40 2023,0.820755,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:41 2023,0.643687,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:42 2023,0.748064,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:43 2023,0.734961,275008852n,1629472Ki,43233850n,1262480Ki,37525485n,1167908Ki,204415364n,1426736Ki,34822200n,1026260Ki,50451969n,1168788Ki,305908n,3424Ki,0,18376Ki
Fri Feb 10 20:44:45 2023,0.958828,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:46 2023,0.702447,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:47 2023,0.853703,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:48 2023,0.757403,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:49 2023,0.742287,275008852n,1629472Ki,43233850n,1262480Ki,37525485n,1167908Ki,204415364n,1426736Ki,34822200n,1026260Ki,50451969n,1168788Ki,305908n,3424Ki,0,18376Ki
Fri Feb 10 20:44:51 2023,0.700577,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:52 2023,0.579097,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:53 2023,0.69769,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:54 2023,0.755034,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:55 2023,0.813408,275008852n,1629472Ki,43233850n,1262480Ki,37525485n,1167908Ki,204415364n,1426736Ki,34822200n,1026260Ki,50451969n,1168788Ki,305908n,3424Ki,0,18376Ki
Fri Feb 10 20:44:57 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:58 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:44:59 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:00 2023,,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:01 2023,0.649502,323624195n,1628000Ki,35212253n,1262452Ki,42626793n,1167908Ki,215841600n,1425792Ki,41987099n,1026312Ki,41564145n,1169052Ki,,,0,18376Ki
Fri Feb 10 20:45:03 2023,0.917391,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:04 2023,0.71382,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:05 2023,0.695561,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:06 2023,0.756093,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:07 2023,0.767273,323624195n,1628000Ki,35212253n,1262452Ki,42626793n,1167908Ki,215841600n,1425792Ki,41987099n,1026312Ki,41564145n,1169052Ki,,,0,18376Ki
Fri Feb 10 20:45:09 2023,0.620091,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:10 2023,0.636984,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:11 2023,0.691336,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:12 2023,0.715169,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:13 2023,0.627247,323624195n,1628000Ki,35212253n,1262452Ki,42626793n,1167908Ki,192620210n,1425736Ki,35698340n,1026444Ki,43138479n,1169048Ki,,,0,18376Ki
Fri Feb 10 20:45:15 2023,0.913056,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:16 2023,0.729373,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:17 2023,0.82065,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:18 2023,0.824086,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:19 2023,0.762137,298957127n,1628064Ki,93312507n,1262636Ki,44418470n,1168044Ki,192620210n,1425736Ki,35698340n,1026444Ki,43138479n,1169048Ki,,,0,18376Ki
Fri Feb 10 20:45:21 2023,0.776923,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:22 2023,0.765958,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:23 2023,0.886817,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:24 2023,0.830142,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:25 2023,0.788586,298957127n,1628064Ki,93312507n,1262636Ki,44418470n,1168044Ki,192620210n,1425736Ki,35698340n,1026444Ki,43138479n,1169048Ki,,,0,18376Ki
Fri Feb 10 20:45:27 2023,0.924654,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:28 2023,1.18375,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:30 2023,1.001843,,,,,,,,,,,,,,,,
Fri Feb 10 20:45:32 2023,0.759399,,,,,,,,,,,,,,,,
