,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-55b56d99fb-mj2pv_cpu,simple-stateless-55b56d99fb-mj2pv_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Fri Feb 10 20:22:51 2023,0.894597,208212208n,1672848Ki,42676752n,1262076Ki,38402503n,1167880Ki,192828527n,1423144Ki,35279988n,1025516Ki,49532155n,1168332Ki,2031697n,18088Ki,0,18076Ki
Fri Feb 10 20:22:53 2023,0.725543,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:54 2023,1.016351,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:56 2023,0.751726,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:57 2023,0.509449,,,,,,,,,,,,,,,,
Fri Feb 10 20:22:58 2023,0.916912,193864206n,1672952Ki,45477639n,1261648Ki,43255248n,1167764Ki,199706804n,1423180Ki,41307383n,1025528Ki,52611617n,1168284Ki,2055416n,18348Ki,0,18076Ki
Fri Feb 10 20:23:00 2023,0.538101,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:01 2023,0.774866,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:02 2023,0.736727,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:03 2023,0.924598,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:04 2023,0.871954,193864206n,1672952Ki,45477639n,1261648Ki,43255248n,1167764Ki,199706804n,1423180Ki,41307383n,1025528Ki,52611617n,1168284Ki,2055416n,18348Ki,0,18076Ki
Fri Feb 10 20:23:06 2023,0.971523,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:07 2023,1.076095,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:09 2023,1.418291,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:11 2023,0.854348,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:12 2023,1.13014,193864206n,1672952Ki,45477639n,1261648Ki,43255248n,1167764Ki,199706804n,1423180Ki,41307383n,1025528Ki,52611617n,1168284Ki,2055416n,18348Ki,0,18076Ki
Fri Feb 10 20:23:14 2023,0.867214,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:15 2023,1.356319,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:17 2023,0.894598,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:18 2023,0.893326,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:19 2023,1.05482,199873423n,1674080Ki,39620654n,1261960Ki,38722494n,1167764Ki,199142736n,1422688Ki,36996306n,1025528Ki,53230150n,1168116Ki,2128173n,18000Ki,0,18076Ki
Fri Feb 10 20:23:21 2023,0.938851,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:22 2023,0.994765,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:24 2023,0.807836,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:25 2023,1.504059,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:27 2023,1.291134,199873423n,1674080Ki,39620654n,1261960Ki,38722494n,1167764Ki,199142736n,1422688Ki,36996306n,1025528Ki,53230150n,1168116Ki,2128173n,18000Ki,0,18076Ki
Fri Feb 10 20:23:29 2023,1.691736,,,,,,,,,,,,,,,,
Fri Feb 10 20:23:31 2023,1.412761,,,,,,,,,,,,,,,,
