,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-699b785b7f-rszbd_cpu,simple-stateless-699b785b7f-rszbd_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory,simple-stateless-55b56d99fb-mj2pv_cpu,simple-stateless-55b56d99fb-mj2pv_memory
Fri Feb 10 19:43:22 2023,0.695017,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:23 2023,0.84119,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:24 2023,0.704513,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:25 2023,0.656212,342454274n,2028592Ki,83508077n,1260644Ki,47539435n,1185316Ki,190610935n,1421668Ki,39835318n,1024572Ki,42607789n,1165764Ki,2816616n,17516Ki,0,18076Ki,,
Fri Feb 10 19:43:27 2023,0.644448,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:28 2023,0.384875,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:29 2023,0.442945,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:30 2023,0.392887,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:31 2023,0.402419,292602243n,2028748Ki,47550517n,1260872Ki,54376354n,1185188Ki,208522642n,1422268Ki,40412411n,1024600Ki,47591490n,1165768Ki,369855n,17456Ki,0,18076Ki,6542204n,18248Ki
Fri Feb 10 19:43:32 2023,0.407013,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:33 2023,0.399966,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:34 2023,0.408569,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:35 2023,0.395647,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:36 2023,0.354846,292602243n,2028748Ki,47550517n,1260872Ki,54376354n,1185188Ki,208522642n,1422268Ki,40412411n,1024600Ki,47591490n,1165768Ki,369855n,17456Ki,0,18076Ki,6542204n,18248Ki
Fri Feb 10 19:43:37 2023,0.418082,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:38 2023,0.451519,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:39 2023,0.389104,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:40 2023,0.4398,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:41 2023,0.419696,292602243n,2028748Ki,47550517n,1260872Ki,54376354n,1185188Ki,208522642n,1422268Ki,40412411n,1024600Ki,47591490n,1165768Ki,369855n,17456Ki,0,18076Ki,6542204n,18248Ki
Fri Feb 10 19:43:42 2023,0.439891,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:43 2023,0.37144,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:44 2023,0.367888,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:45 2023,0.362441,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:46 2023,0.42492,296401015n,2042672Ki,39068723n,1259844Ki,59212299n,1167384Ki,201929799n,1421724Ki,35124128n,1024600Ki,43983737n,1165608Ki,,,0,18076Ki,2896677n,18388Ki
Fri Feb 10 19:43:47 2023,0.413798,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:48 2023,0.450505,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:49 2023,0.437433,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:50 2023,0.403017,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:51 2023,0.384672,296401015n,2042672Ki,39068723n,1259844Ki,59212299n,1167384Ki,201929799n,1421724Ki,35124128n,1024600Ki,43983737n,1165608Ki,,,0,18076Ki,2896677n,18388Ki
Fri Feb 10 19:43:52 2023,0.362629,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:53 2023,0.40009,,,,,,,,,,,,,,,,,,
Fri Feb 10 19:43:54 2023,0.400867,,,,,,,,,,,,,,,,,,
