,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateful-set2-0_cpu,simple-stateful-set2-0_memory,simple-stateful-set2-1_cpu,simple-stateful-set2-1_memory,simple-stateless-6bbbb8cb9c-664qr_cpu,simple-stateless-6bbbb8cb9c-664qr_memory
Sat Feb 11 00:48:22 2023,0.69934,232965166n,2072612Ki,100628517n,1271112Ki,84709762n,1235356Ki,215159332n,1438276Ki,93090583n,1038692Ki,83988371n,1176420Ki,0,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:24 2023,0.763266,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:26 2023,0.845298,232965166n,2072612Ki,100628517n,1271112Ki,84709762n,1235356Ki,215159332n,1438276Ki,93090583n,1038692Ki,83988371n,1176420Ki,0,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:28 2023,0.874281,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:30 2023,0.855042,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:32 2023,0.658215,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:34 2023,1.030862,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:36 2023,1.029703,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:38 2023,0.927202,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
Sat Feb 11 00:48:40 2023,1.249912,,,,,,,,,,,,,,,,,,
Sat Feb 11 00:48:42 2023,1.057994,262813064n,2074912Ki,98774651n,1274716Ki,123068009n,1238396Ki,264928389n,1436936Ki,105498675n,1042348Ki,117395481n,1179900Ki,81672n,3344Ki,0,3296Ki,0,18376Ki
