,Latency,master_cpu,master_memory,worker-1_cpu,worker-1_memory,worker-2_cpu,worker-2_memory,master-2_cpu,master-2_memory,worker-3_cpu,worker-3_memory,worker-4_cpu,worker-4_memory,simple-stateless-6bbbb8cb9c-vv5v2_cpu,simple-stateless-6bbbb8cb9c-vv5v2_memory,simple-stateless-6bbbb8cb9c-jhwzg_cpu,simple-stateless-6bbbb8cb9c-jhwzg_memory
Sat Feb 11 01:58:00 2023,1.205101,207382149n,2084684Ki,35633278n,1271000Ki,41868482n,1238464Ki,206618923n,1442092Ki,39598785n,1041940Ki,46996973n,1179992Ki,,,2523929n,17552Ki
Sat Feb 11 01:58:02 2023,1.371715,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:04 2023,1.283861,207382149n,2084684Ki,35633278n,1271000Ki,41868482n,1238464Ki,206618923n,1442092Ki,39598785n,1041940Ki,46996973n,1179992Ki,,,2523929n,17552Ki
Sat Feb 11 01:58:06 2023,1.335685,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:08 2023,1.32562,207382149n,2084684Ki,35633278n,1271000Ki,41868482n,1238464Ki,206618923n,1442092Ki,39598785n,1041940Ki,46996973n,1179992Ki,,,2523929n,17552Ki
Sat Feb 11 01:58:10 2023,1.302552,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:12 2023,1.109884,207382149n,2084684Ki,35633278n,1271000Ki,41868482n,1238464Ki,206618923n,1442092Ki,39598785n,1041940Ki,46996973n,1179992Ki,,,2523929n,17552Ki
Sat Feb 11 01:58:14 2023,1.112808,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:16 2023,1.381084,218063381n,2083920Ki,40608348n,1270924Ki,43626940n,1238464Ki,213899238n,1447600Ki,46236703n,1041428Ki,45010335n,1179708Ki,,,2063841n,17744Ki
Sat Feb 11 01:58:18 2023,1.129722,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:20 2023,1.496803,218063381n,2083920Ki,40608348n,1270924Ki,43626940n,1238464Ki,213899238n,1447600Ki,46236703n,1041428Ki,45010335n,1179708Ki,,,2063841n,17744Ki
Sat Feb 11 01:58:22 2023,1.491588,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:24 2023,1.170317,218063381n,2083920Ki,40608348n,1270924Ki,43626940n,1238464Ki,213899238n,1447600Ki,46236703n,1041428Ki,45010335n,1179708Ki,,,2063841n,17744Ki
Sat Feb 11 01:58:26 2023,1.334792,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:28 2023,1.540667,223616142n,2084396Ki,33868368n,1270800Ki,48245710n,1238376Ki,200992206n,1442348Ki,37987057n,1041944Ki,46058014n,1180500Ki,,,1908258n,17332Ki
Sat Feb 11 01:58:32 2023,1.535104,,,,,,,,,,,,,,,,
Sat Feb 11 01:58:34 2023,1.009168,223616142n,2084396Ki,33868368n,1270800Ki,48245710n,1238376Ki,200992206n,1442348Ki,37987057n,1041944Ki,46058014n,1180500Ki,,,1908258n,17332Ki
Sat Feb 11 01:58:36 2023,1.245176,,,,,,,,,,,,,,,,
